stat_assos: keys: 35 values: 26 associations: 68
reading sim files completed!
number of disease pairs which all methods can cal: stat_assos: keys: 4899 values: 4899 associations: 12002550
number of benchmark disease pairs which all methods can cal: 61
x time
d1	d2	icod	suntopo	funsim	bog	gomf	label
umls:C3151071	umls:C1838259	0.0	0.358741790056229	5e-324	0.0	0.0009528346831824678	0
umls:C1864843	umls:C0011875	0.000763218733482063	0.427980571985245	5e-324	0.0	0.00029014942695488184	0
umls:C0393591	umls:C2931218	0.0	0.345715343952179	5e-324	0.0	0.0005111788789202489	0
umls:C1832940	umls:C3553288	0.0	0.0957247316837311	5e-324	0.0	0.0002901494269548818	0
umls:C2940786	umls:C0026205	0.0	0.380579262971878	5e-324	0.0	0.000437636761487965	0
umls:C2940786	umls:C0030807	0.0	0.275147616863251	5e-324	0.0	0.000437636761487965	0
umls:C2677567	umls:C1837029	0.0	0.413532614707947	5e-324	0.0	0.001694915254237288	0
umls:C0036341	umls:C0040128	0.00251960405148566	0.5	0.020662301357004517	0.00180880958214402	0.0014121625345823975	0
umls:C0013911	umls:C1176475	0.0	0.351424157619476	5e-324	0.0	0.0002901494269548818	0
umls:C0013911	umls:C1834750	0.0	0.0727405250072479	5e-324	0.0	0.0002901494269548818	0
umls:C1859312	umls:C1837173	0.0	0.359115302562714	5e-324	0.0	0.0011736350147668305	0
umls:C0152109	umls:C0017152	0.00212277052924037	0.477350056171417	5e-324	0.0	0.0006470839053692502	0
umls:C1836199	umls:C1867300	0.0	0.384815096855164	5e-324	0.0	0.000437636761487965	0
umls:C0029132	umls:C0010674	0.000794388819485903	0.427758455276489	0.03817922078494448	0.0	0.002136537906350022	0
umls:C0017668	umls:C1855100	0.00344265718013048	0.353176295757294	5e-324	0.0	0.0004919305154578494	0
umls:C0017668	umls:C0751865	0.0006513093248941	0.484138935804367	0.015629853246133415	0.0	0.003209429522431995	0
umls:C0017668	umls:C0206656	0.0038495110347867	0.480341106653214	0.001976691898071412	0.0	0.0038710333781099542	0
umls:C1867468	umls:C0010324	0.0	0.293074369430542	5e-324	0.0	0.0007833920877399138	0
umls:C3203102	umls:C0010038	0.00308463466353714	0.364939093589783	5e-324	0.0	0.000339473693033385	0
umls:C2678468	umls:C0684337	0.0	0.127327144145966	5e-324	0.0	0.0009528346831824678	0
umls:C1853096	umls:C0023269	0.0	0.435858964920044	5e-324	0.0	0.000987278608950422	0
umls:C0001925	umls:C0024530	0.0056705242022872	0.5	0.0742789646190677	0.127162143588066	0.00240928628363837	0
umls:C0345427	umls:C2936858	0.0	0.330977439880371	5e-324	0.0	0.0007833920877399138	0
umls:C0040015	umls:C1262477	0.00427060620859265	0.444888263940811	0.0465830488632334	0.0	0.001437598148205856	0
umls:C2750850	umls:C0002390	0.00234323972836137	0.417909741401672	5e-324	0.0	0.002957454944230187	0
umls:C0036220	umls:C1969038	0.0	0.41459521651268	5e-324	0.0	0.0002901494269548818	0
umls:C0019562	umls:C0023806	0.0	0.312475264072418	5e-324	0.0	0.0005367707573473978	0
umls:C1847835	umls:C1837008	0.0	0.188321977853775	5e-324	0.0	0.0008565310492505353	0
umls:C0013481	umls:C0334579	0.0	0.284292578697205	5e-324	0.0	0.0013987453892878824	0
umls:C0242379	umls:C0011053	0.00333430152386427	0.479500442743301	0.05676544565184715	0.0	0.00278757362100879	0
umls:C0242379	umls:C3892039	0.00904622301459312	0.447075963020325	5e-324	0.0	0.0011219068459804387	0
umls:C2673536	umls:C3887938	0.0	0.357563316822052	5e-324	0.0	0.0002901494269548818	0
